url_path,views_total,views_unique
/Fevol/obsidian-translate,167,105
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,35,12
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,20,19
/Fevol/obsidian-translate/issues,12,7
/fevol/obsidian-translate,6,4
/Fevol/obsidian-translate/blob/master/docs/API.md,5,4
/Fevol/obsidian-translate/discussions,4,4
/Fevol/obsidian-translate/issues/new,4,3
/Fevol/obsidian-translate/blob/7e55c6fa0f44fc28dd3a7fd6411d43d712c07659/src/typings/obsidian-ex.d.ts,4,1
/Fevol/obsidian-translate/blob/master/package.json,2,2
