time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-01 00:00:00+00:00,2,2,21,3
2022-09-02 00:00:00+00:00,2,2,3,3
2022-09-03 00:00:00+00:00,2,2,65,6
2022-09-04 00:00:00+00:00,3,2,19,4
2022-09-05 00:00:00+00:00,1,1,27,6
2022-09-06 00:00:00+00:00,3,2,32,5
2022-09-07 00:00:00+00:00,2,2,31,6
2022-09-08 00:00:00+00:00,1,1,7,3
2022-09-09 00:00:00+00:00,2,2,18,2
2022-09-10 00:00:00+00:00,4,3,24,2
2022-09-11 00:00:00+00:00,1,1,22,4
2022-09-12 00:00:00+00:00,2,2,5,5
2022-09-13 00:00:00+00:00,2,2,48,8
2022-09-14 00:00:00+00:00,1,1,19,7
