time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-12 00:00:00+00:00,3,3,3.0,2.0
2022-10-13 00:00:00+00:00,2,2,1.0,1.0
2022-10-14 00:00:00+00:00,2,2,11.0,7.0
2022-10-15 00:00:00+00:00,1,1,,
2022-10-16 00:00:00+00:00,2,2,3.0,3.0
2022-10-17 00:00:00+00:00,1,1,15.0,3.0
2022-10-18 00:00:00+00:00,2,2,8.0,2.0
2022-10-19 00:00:00+00:00,1,1,4.0,4.0
2022-10-20 00:00:00+00:00,1,1,,
2022-10-21 00:00:00+00:00,3,3,3.0,2.0
2022-10-22 00:00:00+00:00,2,2,1.0,1.0
2022-10-23 00:00:00+00:00,2,2,8.0,3.0
2022-10-24 00:00:00+00:00,2,2,5.0,5.0
2022-10-25 00:00:00+00:00,1,1,1.0,1.0
