time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-19 00:00:00+00:00,2,2,9,3
2022-11-20 00:00:00+00:00,6,5,26,4
2022-11-21 00:00:00+00:00,9,6,39,2
2022-11-22 00:00:00+00:00,11,7,157,8
2022-11-23 00:00:00+00:00,1,1,21,4
2022-11-24 00:00:00+00:00,22,9,49,3
2022-11-25 00:00:00+00:00,3,3,25,5
2022-11-26 00:00:00+00:00,1,1,23,4
2022-11-27 00:00:00+00:00,3,3,24,7
2022-11-28 00:00:00+00:00,2,2,17,4
2022-11-29 00:00:00+00:00,19,7,200,7
2022-11-30 00:00:00+00:00,14,8,78,10
2022-12-01 00:00:00+00:00,4,3,34,6
2022-12-02 00:00:00+00:00,13,8,130,10
