time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-25 00:00:00+00:00,138,3,54,8
2023-01-26 00:00:00+00:00,17,4,16,11
2023-01-27 00:00:00+00:00,18,5,61,16
2023-01-28 00:00:00+00:00,4,2,12,7
2023-01-29 00:00:00+00:00,4,2,29,13
2023-01-30 00:00:00+00:00,9,6,18,10
2023-01-31 00:00:00+00:00,6,3,25,16
2023-02-01 00:00:00+00:00,4,2,23,10
2023-02-02 00:00:00+00:00,16,3,32,15
2023-02-03 00:00:00+00:00,9,3,24,15
2023-02-04 00:00:00+00:00,1,1,23,11
2023-02-05 00:00:00+00:00,8,2,4,3
2023-02-06 00:00:00+00:00,5,3,24,13
2023-02-07 00:00:00+00:00,1,1,13,10
