url_path,views_total,views_unique
/Fevol/obsidian-translate,58,30
/Fevol/obsidian-translate/issues,15,5
/Fevol/obsidian-translate/issues/33,9,3
/Fevol/obsidian-translate/blob/master/src/ui/modals/ConfirmationModalView.svelte,8,1
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,5,2
/Fevol/obsidian-translate/releases/tag/1.3.1,4,2
/Fevol/obsidian-translate/tree/master/src/ui,3,1
/Fevol/obsidian-translate/tree/master/src/ui/components,3,1
/Fevol/obsidian-translate/tree/master/src,2,2
/Fevol/obsidian-translate/blob/ad90e8156ec285787ee147b09bb84f609b096382/src/handlers/deepl.ts,2,1
