time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-27 00:00:00+00:00,2.0,2.0,23,13
2023-02-28 00:00:00+00:00,1.0,1.0,21,11
2023-03-01 00:00:00+00:00,3.0,3.0,18,10
2023-03-02 00:00:00+00:00,6.0,4.0,22,9
2023-03-03 00:00:00+00:00,2.0,2.0,18,11
2023-03-04 00:00:00+00:00,1.0,1.0,11,7
2023-03-05 00:00:00+00:00,1.0,1.0,19,9
2023-03-06 00:00:00+00:00,2.0,2.0,32,13
2023-03-07 00:00:00+00:00,1.0,1.0,37,12
2023-03-08 00:00:00+00:00,1.0,1.0,11,7
2023-03-09 00:00:00+00:00,2.0,2.0,45,13
2023-03-10 00:00:00+00:00,1.0,1.0,18,11
2023-03-11 00:00:00+00:00,2.0,2.0,17,11
2023-03-12 00:00:00+00:00,,,13,6
