time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-06 00:00:00+00:00,5.0,3.0,54,8
2022-12-07 00:00:00+00:00,7.0,5.0,51,7
2022-12-08 00:00:00+00:00,1.0,1.0,57,8
2022-12-09 00:00:00+00:00,2.0,2.0,48,3
2022-12-10 00:00:00+00:00,1.0,1.0,41,6
2022-12-11 00:00:00+00:00,4.0,4.0,8,5
2022-12-12 00:00:00+00:00,3.0,2.0,9,2
2022-12-13 00:00:00+00:00,2.0,2.0,32,4
2022-12-14 00:00:00+00:00,1.0,1.0,29,3
2022-12-15 00:00:00+00:00,1.0,1.0,43,3
2022-12-16 00:00:00+00:00,1.0,1.0,11,4
2022-12-17 00:00:00+00:00,2.0,2.0,44,32
2022-12-18 00:00:00+00:00,2.0,2.0,37,20
2022-12-19 00:00:00+00:00,,,21,9
