url_path,views_total,views_unique
/Fevol/obsidian-translate,60,32
/Fevol/obsidian-translate/issues,11,4
/Fevol/obsidian-translate/issues/33,6,2
/Fevol/obsidian-translate/blob/master/src/ui/modals/ConfirmationModalView.svelte,4,1
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,3,1
/Fevol/obsidian-translate/stargazers,3,1
/Fevol/obsidian-translate/releases/tag/1.0.1.1,2,2
/Fevol/obsidian-translate/tree/master/src,2,2
/Fevol/obsidian-translate/blob/ad90e8156ec285787ee147b09bb84f609b096382/src/handlers/deepl.ts,2,1
/Fevol/obsidian-translate/commits,2,1
