url_path,views_total,views_unique
/Fevol/obsidian-translate,385,202
/Fevol/obsidian-translate/issues,120,9
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,52,21
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,44,37
/fevol/obsidian-translate,40,13
/Fevol/obsidian-translate/commits/master,31,2
/Fevol/obsidian-translate/issues/35,30,1
/Fevol/obsidian-translate/releases/tag/1.4.3,29,11
/Fevol/obsidian-translate/tree/master/src,28,5
/Fevol/obsidian-translate/issues/37,27,3
