time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-08 00:00:00+00:00,2,2,2,2
2022-11-09 00:00:00+00:00,5,5,3,3
2022-11-10 00:00:00+00:00,1,1,12,5
2022-11-11 00:00:00+00:00,1,1,6,4
2022-11-12 00:00:00+00:00,2,2,17,5
2022-11-13 00:00:00+00:00,2,2,16,6
2022-11-14 00:00:00+00:00,2,2,6,5
2022-11-15 00:00:00+00:00,1,1,1,1
2022-11-16 00:00:00+00:00,1,1,3,2
2022-11-17 00:00:00+00:00,6,4,12,2
2022-11-18 00:00:00+00:00,5,4,43,2
2022-11-19 00:00:00+00:00,2,2,9,3
2022-11-20 00:00:00+00:00,6,5,26,4
2022-11-21 00:00:00+00:00,7,4,30,2
