url_path,views_total,views_unique
/Fevol/obsidian-translate,72,20
/fevol/obsidian-translate,18,6
/Fevol/obsidian-translate/tree/master/src,15,3
/Fevol/obsidian-translate/issues,12,3
/Fevol/obsidian-translate/tree/master/src/ui,8,2
/Fevol/obsidian-translate/blob/9fe8d822ae57f17a79e5114744e1b5f5ac18c17e/src/handlers/google-translate.ts,7,2
/Fevol/obsidian-translate/tree/github-repo-stats,7,2
/Fevol/obsidian-translate/blob/9fe8d822ae57f17a79e5114744e1b5f5ac18c17e/tests/ApiHandlers.test.ts,6,3
/Fevol/obsidian-translate/discussions,6,2
/Fevol/obsidian-translate/releases/tag/1.3.1,5,3
