url_path,views_total,views_unique
/Fevol/obsidian-translate,137,87
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,26,13
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,20,17
/Fevol/obsidian-translate/issues,20,7
/Fevol/obsidian-translate/blob/master/docs/API.md,15,7
/Fevol/obsidian-translate/releases/tag/1.4.4,8,6
/Fevol/obsidian-translate/issues/45,7,2
/Fevol/obsidian-translate/issues/new,5,2
/Fevol/obsidian-translate/search,4,4
/Fevol/obsidian-translate/tree/master/images,4,3
